,class,operation,time
0,honest,sign,5
1,honest,sign,1
2,honest,sign,1
3,honest,sign,10
4,honest,sign,3
5,honest,sign,16
6,honest,sign,7
7,honest,sign,4
8,honest,sign,1
9,honest,sign,7
10,honest,sign,1
11,honest,sign,6
12,honest,sign,1
13,honest,sign,1
14,honest,sign,3
15,honest,sign,1
16,honest,sign,7
17,honest,sign,1
18,honest,sign,4
19,honest,sign,5
20,honest,sign,1
21,honest,sign,4
22,honest,sign,1
23,honest,sign,5
24,honest,sign,4
25,honest,sign,4
26,honest,sign,1
27,honest,sign,1
28,honest,sign,5
29,honest,sign,6
30,honest,sign,3
31,honest,sign,1
32,honest,sign,3
33,honest,sign,4
34,honest,sign,1
35,honest,sign,3
36,honest,sign,5
37,honest,sign,7
38,honest,sign,4
39,honest,sign,12
40,honest,sign,3
41,honest,sign,3
42,honest,sign,2
43,honest,sign,7
44,honest,sign,2
45,honest,sign,5
46,honest,sign,1
47,honest,sign,9
48,honest,sign,3
49,honest,sign,3
50,honest,sign,10
51,honest,sign,3
52,honest,sign,4
53,honest,sign,4
54,honest,sign,13
55,honest,sign,8
56,honest,sign,4
57,honest,sign,5
58,honest,sign,5
59,honest,sign,3
60,honest,sign,3
61,honest,sign,1
62,honest,sign,8
63,honest,sign,4
64,honest,sign,6
65,honest,sign,5
66,honest,sign,1
67,honest,sign,1
68,honest,sign,2
69,honest,sign,5
70,honest,sign,1
71,honest,sign,3
72,honest,sign,6
73,honest,sign,1
74,honest,sign,1
75,honest,sign,3
76,honest,sign,10
77,honest,sign,3
78,honest,sign,2
79,honest,sign,3
80,honest,sign,3
81,honest,sign,2
82,honest,sign,10
83,honest,sign,1
84,honest,sign,3
85,honest,sign,8
86,honest,sign,1
87,honest,sign,13
88,honest,sign,1
89,honest,sign,8
90,honest,sign,1
91,honest,sign,7
92,honest,sign,4
93,honest,sign,2
94,honest,sign,2
95,honest,sign,3
96,honest,sign,1
97,honest,sign,1
98,honest,sign,5
99,honest,sign,1
100,honest,sign,4
101,honest,sign,1
102,honest,sign,2
103,honest,sign,5
104,honest,sign,2
105,honest,sign,1
106,honest,sign,8
107,honest,sign,11
108,honest,sign,2
109,honest,sign,5
110,honest,sign,2
111,honest,sign,3
112,honest,sign,5
113,honest,sign,1
114,honest,sign,2
115,honest,sign,10
116,honest,sign,3
117,honest,sign,12
118,honest,sign,4
119,honest,sign,4
120,honest,sign,2
121,honest,sign,9
122,honest,sign,2
123,honest,sign,1
124,honest,sign,1
125,honest,sign,4
126,honest,sign,3
127,honest,sign,1
128,honest,sign,2
129,honest,sign,10
130,honest,sign,5
131,honest,sign,2
132,honest,sign,2
133,honest,sign,3
134,honest,sign,1
135,honest,sign,3
136,honest,sign,4
137,honest,sign,1
138,honest,sign,2
139,honest,sign,2
140,honest,sign,6
141,honest,sign,16
142,honest,sign,2
143,honest,sign,5
144,honest,sign,3
145,honest,sign,2
146,honest,sign,10
147,honest,sign,3
148,honest,sign,1
149,honest,sign,12
150,honest,sign,2
151,honest,sign,6
152,honest,sign,8
153,honest,sign,1
154,honest,sign,4
155,honest,sign,1
156,honest,sign,4
157,honest,sign,2
158,honest,sign,3
159,honest,sign,7
160,honest,sign,4
161,honest,sign,3
162,honest,sign,2
163,honest,sign,5
164,honest,sign,1
165,honest,sign,1
166,honest,sign,1
167,honest,sign,2
168,honest,sign,6
169,honest,sign,5
170,honest,sign,3
171,honest,sign,1
172,honest,sign,4
173,honest,sign,2
174,honest,sign,6
175,honest,sign,3
176,honest,sign,1
177,honest,sign,5
178,honest,sign,1
179,honest,sign,1
180,honest,sign,3
181,honest,sign,4
182,honest,sign,5
183,honest,sign,5
184,honest,sign,7
185,honest,sign,3
186,honest,sign,3
187,honest,sign,1
188,honest,sign,7
189,honest,sign,3
190,honest,sign,1
191,honest,sign,1
192,honest,sign,3
193,honest,sign,7
194,honest,sign,2
195,honest,sign,1
196,honest,sign,1
197,honest,sign,8
198,honest,sign,2
199,honest,sign,5
200,honest,sign,3
201,honest,sign,7
202,honest,sign,1
203,honest,sign,2
204,honest,sign,3
205,honest,sign,1
206,honest,sign,1
207,honest,sign,4
208,honest,sign,3
209,honest,sign,3
210,honest,sign,5
211,honest,sign,1
212,honest,sign,10
213,honest,sign,4
214,honest,sign,1
215,honest,sign,4
216,honest,sign,1
217,honest,sign,4
218,honest,sign,4
219,honest,sign,1
220,honest,sign,8
221,honest,sign,8
222,honest,sign,1
223,honest,sign,2
224,honest,sign,3
225,honest,sign,3
226,honest,sign,2
227,honest,sign,3
228,honest,sign,4
229,honest,sign,7
230,honest,sign,6
231,honest,sign,8
232,honest,sign,5
233,honest,sign,5
234,honest,sign,2
235,honest,sign,4
236,honest,sign,3
237,honest,sign,8
238,honest,sign,4
239,honest,sign,1
240,honest,sign,1
241,honest,sign,3
242,honest,sign,13
243,honest,sign,4
244,honest,sign,11
245,honest,sign,8
246,honest,sign,7
247,honest,sign,6
248,honest,sign,2
249,honest,sign,5
250,honest,sign,5
251,honest,sign,4
252,honest,sign,14
253,honest,sign,2
254,honest,sign,1
255,honest,sign,1
256,honest,sign,5
257,honest,sign,7
258,honest,verify,25
259,honest,verify,11
260,honest,verify,27
261,honest,verify,25
262,honest,verify,16
263,honest,verify,34
264,honest,verify,24
265,honest,verify,32
266,honest,verify,16
267,honest,verify,30
268,honest,verify,26
269,honest,verify,1
270,honest,verify,15
271,honest,verify,8
272,honest,verify,24
273,honest,verify,20
274,honest,verify,10
275,honest,verify,22
276,honest,verify,17
277,honest,verify,26
278,honest,verify,20
279,honest,verify,5
280,honest,verify,15
281,honest,verify,25
282,honest,verify,19
283,honest,verify,12
284,honest,verify,24
285,honest,verify,19
286,honest,verify,19
287,honest,verify,15
288,honest,verify,22
289,honest,verify,11
290,honest,verify,28
291,honest,verify,6
292,honest,verify,12
293,honest,verify,28
294,honest,verify,12
295,honest,verify,23
296,honest,verify,27
297,honest,verify,38
298,honest,verify,22
299,honest,verify,19
300,honest,verify,27
301,honest,verify,7
302,honest,verify,13
303,honest,verify,21
304,honest,verify,20
305,honest,verify,22
306,honest,verify,27
307,honest,verify,14
308,honest,verify,16
309,honest,verify,18
310,honest,verify,4
311,honest,verify,9
312,honest,verify,21
313,honest,verify,20
314,honest,verify,25
315,honest,verify,28
316,honest,verify,22
317,honest,verify,30
318,honest,verify,11
319,honest,verify,21
320,honest,verify,11
321,honest,verify,28
322,honest,verify,31
323,honest,verify,11
324,honest,verify,33
325,honest,verify,7
