,class,operation,time
0,honest,sign,7
1,honest,sign,3
2,honest,sign,3
3,honest,sign,4
4,honest,sign,2
5,honest,sign,12
6,honest,sign,3
7,honest,sign,3
8,honest,sign,4
9,honest,sign,8
10,honest,sign,1
11,honest,sign,4
12,honest,sign,1
13,honest,sign,2
14,honest,sign,4
15,honest,sign,1
16,honest,sign,2
17,honest,sign,1
18,honest,sign,3
19,honest,sign,3
20,honest,sign,3
21,honest,sign,11
22,honest,sign,4
23,honest,sign,4
24,honest,sign,6
25,honest,sign,4
26,honest,sign,8
27,honest,sign,4
28,honest,sign,7
29,honest,sign,7
30,honest,sign,6
31,honest,sign,1
32,honest,sign,2
33,honest,sign,2
34,honest,sign,2
35,honest,sign,6
36,honest,sign,6
37,honest,sign,6
38,honest,sign,2
39,honest,sign,3
40,honest,sign,9
41,honest,sign,2
42,honest,sign,2
43,honest,sign,5
44,honest,sign,3
45,honest,sign,4
46,honest,sign,5
47,honest,sign,4
48,honest,sign,3
49,honest,sign,1
50,honest,sign,2
51,honest,sign,4
52,honest,sign,5
53,honest,sign,1
54,honest,sign,5
55,honest,sign,4
56,honest,sign,2
57,honest,sign,5
58,honest,sign,5
59,honest,sign,2
60,honest,sign,4
61,honest,sign,14
62,honest,sign,1
63,honest,sign,17
64,honest,sign,1
65,honest,sign,7
66,honest,sign,1
67,honest,sign,1
68,honest,sign,1
69,honest,sign,8
70,honest,sign,6
71,honest,sign,2
72,honest,sign,3
73,honest,sign,3
74,honest,sign,1
75,honest,sign,3
76,honest,sign,12
77,honest,sign,3
78,honest,sign,3
79,honest,sign,1
80,honest,sign,2
81,honest,sign,16
82,honest,sign,2
83,honest,sign,7
84,honest,sign,3
85,honest,sign,1
86,honest,sign,5
87,honest,sign,7
88,honest,sign,9
89,honest,sign,3
90,honest,sign,2
91,honest,sign,3
92,honest,sign,6
93,honest,sign,5
94,honest,sign,5
95,honest,sign,17
96,honest,sign,1
97,honest,sign,3
98,honest,sign,14
99,honest,sign,3
100,honest,sign,1
101,honest,sign,19
102,honest,sign,2
103,honest,sign,1
104,honest,sign,1
105,honest,sign,6
106,honest,sign,1
107,honest,sign,5
108,honest,sign,1
109,honest,sign,10
110,honest,sign,23
111,honest,sign,8
112,honest,sign,9
113,honest,sign,9
114,honest,sign,1
115,honest,sign,4
116,honest,sign,10
117,honest,sign,1
118,honest,sign,3
119,honest,sign,1
120,honest,sign,3
121,honest,sign,1
122,honest,sign,4
123,honest,sign,1
124,honest,sign,1
125,honest,sign,2
126,honest,sign,4
127,honest,sign,1
128,honest,sign,8
129,honest,sign,6
130,honest,sign,5
131,honest,sign,5
132,honest,sign,1
133,honest,sign,9
134,honest,sign,6
135,honest,sign,8
136,honest,sign,8
137,honest,sign,3
138,honest,sign,1
139,honest,sign,3
140,honest,sign,6
141,honest,sign,6
142,honest,sign,5
143,honest,sign,5
144,honest,sign,3
145,honest,sign,10
146,honest,sign,2
147,honest,sign,1
148,honest,sign,1
149,honest,sign,4
150,honest,sign,10
151,honest,sign,4
152,honest,sign,1
153,honest,sign,2
154,honest,sign,3
155,honest,sign,14
156,honest,sign,7
157,honest,sign,2
158,honest,sign,1
159,honest,sign,1
160,honest,sign,12
161,honest,sign,6
162,honest,sign,3
163,honest,sign,1
164,honest,sign,1
165,honest,sign,3
166,honest,sign,1
167,honest,sign,3
168,honest,sign,1
169,honest,sign,5
170,honest,sign,9
171,honest,sign,3
172,honest,sign,3
173,honest,sign,8
174,honest,sign,7
175,honest,sign,2
176,honest,sign,4
177,honest,sign,6
178,honest,sign,2
179,honest,sign,4
180,honest,sign,3
181,honest,sign,11
182,honest,sign,4
183,honest,sign,6
184,honest,sign,20
185,honest,sign,1
186,honest,sign,3
187,honest,sign,6
188,honest,sign,6
189,honest,sign,15
190,honest,sign,3
191,honest,sign,4
192,honest,sign,3
193,honest,sign,1
194,honest,sign,2
195,honest,sign,1
196,honest,sign,3
197,honest,sign,5
198,honest,sign,2
199,honest,sign,2
200,honest,sign,12
201,honest,sign,4
202,honest,sign,3
203,honest,sign,1
204,honest,sign,4
205,honest,sign,1
206,honest,sign,3
207,honest,sign,2
208,honest,sign,2
209,honest,sign,4
210,honest,sign,1
211,honest,sign,8
212,honest,sign,9
213,honest,sign,6
214,honest,sign,7
215,honest,sign,2
216,honest,sign,25
217,honest,sign,19
218,honest,sign,3
219,honest,sign,5
220,honest,sign,3
221,honest,sign,1
222,honest,sign,2
223,honest,sign,4
224,honest,sign,2
225,honest,sign,10
226,honest,sign,8
227,honest,sign,2
228,honest,sign,7
229,honest,sign,5
230,honest,sign,6
231,honest,sign,9
232,honest,sign,9
233,honest,sign,5
234,honest,sign,8
235,honest,sign,6
236,honest,sign,4
237,honest,sign,3
238,honest,sign,11
239,honest,sign,6
240,honest,sign,5
241,honest,sign,12
242,honest,sign,5
243,honest,sign,1
244,honest,sign,5
245,honest,sign,14
246,honest,sign,4
247,honest,sign,5
248,honest,sign,1
249,honest,sign,8
250,honest,sign,11
251,honest,sign,2
252,honest,sign,2
253,honest,sign,4
254,honest,sign,2
255,honest,sign,5
256,honest,sign,1
257,honest,sign,5
258,honest,sign,8
259,honest,sign,6
260,honest,sign,3
261,honest,sign,3
262,honest,sign,2
263,honest,sign,2
264,honest,sign,5
265,honest,sign,4
266,honest,sign,5
267,honest,sign,8
268,honest,sign,4
269,honest,sign,12
270,honest,sign,3
271,honest,sign,14
272,honest,verify,125
273,honest,verify,133
274,honest,verify,112
275,honest,verify,3
276,honest,verify,140
277,honest,verify,127
278,honest,verify,143
279,honest,verify,116
280,honest,verify,100
281,honest,verify,107
282,honest,verify,95
283,honest,verify,114
284,honest,verify,112
285,honest,verify,110
286,honest,verify,127
287,honest,verify,88
288,honest,verify,66
289,honest,verify,139
290,honest,verify,110
291,honest,verify,128
292,honest,verify,105
293,honest,verify,135
294,honest,verify,110
295,honest,verify,88
296,honest,verify,97
297,honest,verify,26
298,honest,verify,135
299,honest,verify,61
300,honest,verify,78
301,honest,verify,120
302,honest,verify,112
303,honest,verify,108
304,honest,verify,143
305,honest,verify,119
306,honest,verify,108
307,honest,verify,99
308,honest,verify,81
309,honest,verify,127
310,honest,verify,118
311,honest,verify,131
312,honest,verify,85
313,honest,verify,98
314,honest,verify,123
315,honest,verify,110
316,honest,verify,140
317,honest,verify,144
318,honest,verify,135
319,honest,verify,62
320,honest,verify,100
321,honest,verify,132
322,honest,verify,129
323,honest,verify,48
324,honest,verify,129
325,honest,verify,134
326,honest,verify,88
327,honest,verify,152
328,honest,verify,131
329,honest,verify,105
330,honest,verify,149
331,honest,verify,92
332,honest,verify,86
333,honest,verify,67
334,honest,verify,147
335,honest,verify,136
336,honest,verify,103
337,honest,verify,103
338,honest,verify,127
339,honest,verify,135
340,honest,verify,129
341,honest,verify,124
342,honest,verify,7
343,honest,verify,122
344,honest,verify,19
345,honest,verify,143
346,honest,verify,134
347,honest,verify,88
348,honest,verify,113
349,honest,verify,15
350,honest,verify,139
351,honest,verify,118
352,honest,verify,102
353,honest,verify,133
354,honest,verify,150
355,honest,verify,138
356,honest,verify,128
357,honest,verify,129
358,honest,verify,115
359,honest,verify,89
360,honest,verify,78
361,honest,verify,80
362,honest,verify,47
363,honest,verify,143
364,honest,verify,124
365,honest,verify,112
366,honest,verify,132
367,honest,verify,126
368,honest,verify,102
369,honest,verify,110
370,honest,verify,107
371,honest,verify,139
372,honest,verify,31
373,honest,verify,123
374,honest,verify,113
375,honest,verify,130
376,honest,verify,139
377,honest,verify,131
378,honest,verify,143
379,honest,verify,141
380,honest,verify,93
381,honest,verify,107
382,honest,verify,82
383,honest,verify,123
384,honest,verify,135
385,honest,verify,124
386,honest,verify,122
387,honest,verify,129
388,honest,verify,127
389,honest,verify,130
390,honest,verify,95
391,honest,verify,6
392,honest,verify,145
393,honest,verify,113
394,honest,verify,122
395,honest,verify,9
396,honest,verify,102
397,honest,verify,69
398,honest,verify,74
399,honest,verify,112
400,honest,verify,134
401,honest,verify,119
402,honest,verify,93
403,honest,verify,119
404,honest,verify,131
405,honest,verify,129
406,honest,verify,135
407,honest,verify,126
408,honest,verify,123
409,honest,verify,135
410,honest,verify,151
411,honest,verify,141
412,honest,verify,143
413,honest,verify,149
414,honest,verify,133
415,honest,verify,90
416,honest,verify,135
417,honest,verify,145
418,honest,verify,135
419,honest,verify,120
420,honest,verify,123
421,honest,verify,125
422,honest,verify,113
423,honest,verify,114
424,honest,verify,134
425,honest,verify,111
426,honest,verify,133
427,honest,verify,106
428,honest,verify,20
429,honest,verify,142
430,honest,verify,131
431,honest,verify,110
432,honest,verify,140
433,honest,verify,141
434,honest,verify,39
435,honest,verify,47
436,honest,verify,141
437,honest,verify,34
438,honest,verify,149
439,honest,verify,78
440,honest,verify,130
441,honest,verify,83
442,honest,verify,148
443,honest,verify,105
444,honest,verify,107
445,honest,verify,134
446,honest,verify,150
447,honest,verify,111
448,honest,verify,147
449,honest,verify,133
450,honest,verify,26
451,honest,verify,133
452,honest,verify,87
453,honest,verify,119
454,honest,verify,140
455,honest,verify,104
456,honest,verify,115
457,honest,verify,144
458,honest,verify,92
459,honest,verify,121
460,honest,verify,110
461,honest,verify,117
462,honest,verify,101
463,honest,verify,108
464,honest,verify,133
465,honest,verify,134
466,honest,verify,136
467,honest,verify,93
468,honest,verify,133
469,honest,verify,43
470,honest,verify,153
471,honest,verify,95
472,honest,verify,145
473,honest,verify,143
474,honest,verify,109
475,honest,verify,98
476,honest,verify,120
477,honest,verify,108
478,honest,verify,132
479,honest,verify,106
480,honest,verify,137
481,honest,verify,121
482,honest,verify,93
483,honest,verify,135
484,honest,verify,128
485,honest,verify,115
486,honest,verify,130
487,honest,verify,128
488,honest,verify,92
489,honest,verify,141
490,honest,verify,24
491,honest,verify,152
492,honest,verify,56
493,honest,verify,71
494,honest,verify,127
495,honest,verify,130
496,honest,verify,133
497,honest,verify,140
498,honest,verify,80
499,honest,verify,92
500,honest,verify,108
501,honest,verify,127
502,honest,verify,130
503,honest,verify,129
504,honest,verify,143
505,honest,verify,44
506,honest,verify,104
507,honest,verify,110
508,honest,verify,78
509,honest,verify,124
510,honest,verify,125
511,honest,verify,128
512,honest,verify,132
513,honest,verify,128
514,honest,verify,141
515,honest,verify,128
516,honest,verify,98
517,honest,verify,106
518,honest,verify,118
519,honest,verify,147
520,honest,verify,118
521,honest,verify,132
522,honest,verify,112
523,honest,verify,106
524,honest,verify,114
525,honest,verify,145
526,honest,verify,104
527,honest,verify,92
528,honest,verify,128
529,honest,verify,135
530,honest,verify,81
531,honest,verify,114
532,honest,verify,123
533,honest,verify,124
534,honest,verify,119
535,honest,verify,137
536,honest,verify,142
537,honest,verify,136
538,honest,verify,140
539,honest,verify,137
540,honest,verify,81
541,honest,verify,143
542,honest,verify,108
543,honest,verify,121
544,honest,verify,102
545,honest,verify,80
546,honest,verify,117
547,honest,verify,136
548,honest,verify,92
549,honest,verify,107
550,honest,verify,146
551,honest,verify,125
552,honest,verify,143
553,honest,verify,96
554,honest,verify,120
555,honest,verify,91
556,honest,verify,124
557,honest,verify,121
558,honest,verify,106
559,honest,verify,14
560,honest,verify,148
561,honest,verify,129
562,honest,verify,118
563,honest,verify,119
564,honest,verify,104
565,honest,verify,80
566,honest,verify,139
567,honest,verify,105
568,honest,verify,143
569,honest,verify,112
570,honest,verify,141
571,honest,verify,113
572,honest,verify,139
573,honest,verify,108
574,honest,verify,111
575,honest,verify,16
576,honest,verify,144
577,honest,verify,120
578,honest,verify,122
579,honest,verify,131
580,honest,verify,21
581,honest,verify,124
582,honest,verify,74
583,honest,verify,128
584,honest,verify,134
585,honest,verify,114
586,honest,verify,111
587,honest,verify,127
588,honest,verify,152
589,honest,verify,140
590,honest,verify,122
591,honest,verify,84
592,honest,verify,130
593,honest,verify,141
594,honest,verify,118
595,honest,verify,132
596,honest,verify,140
597,honest,verify,145
598,honest,verify,126
599,honest,verify,65
600,honest,verify,138
601,honest,verify,104
602,honest,verify,65
603,honest,verify,116
604,honest,verify,119
605,honest,verify,139
606,honest,verify,84
607,honest,verify,131
608,honest,verify,137
609,honest,verify,147
610,honest,verify,23
611,honest,verify,113
612,honest,verify,117
613,honest,verify,120
614,honest,verify,143
615,honest,verify,154
616,honest,verify,137
617,honest,verify,129
618,honest,verify,118
619,honest,verify,134
620,honest,verify,92
621,honest,verify,148
622,honest,verify,114
623,honest,verify,115
624,honest,verify,121
625,honest,verify,97
626,honest,verify,99
627,honest,verify,135
628,honest,verify,111
629,honest,verify,105
630,honest,verify,124
631,honest,verify,98
632,honest,verify,107
633,honest,verify,137
634,honest,verify,145
635,honest,verify,105
636,honest,verify,138
637,honest,verify,119
638,honest,verify,102
639,honest,verify,144
640,honest,verify,143
641,honest,verify,132
642,honest,verify,99
643,honest,verify,93
644,honest,verify,106
645,honest,verify,146
646,honest,verify,157
647,honest,verify,101
648,honest,verify,146
649,honest,verify,160
650,honest,verify,16
651,honest,verify,114
652,honest,verify,110
653,smart,sign,148
654,smart,sign,149
655,smart,sign,148
656,smart,sign,147
657,smart,sign,126
658,smart,sign,148
659,smart,sign,147
660,smart,sign,147
661,smart,sign,148
662,smart,sign,149
663,smart,sign,148
664,smart,sign,144
665,smart,sign,146
666,smart,sign,149
667,smart,sign,149
668,smart,sign,148
669,smart,sign,149
670,smart,sign,149
671,smart,sign,145
672,smart,sign,145
673,smart,sign,148
674,smart,sign,1
675,smart,sign,144
676,smart,sign,147
677,smart,sign,147
678,smart,sign,148
679,smart,sign,148
680,smart,sign,145
681,smart,sign,150
682,smart,sign,149
683,smart,sign,148
684,smart,sign,147
685,smart,sign,150
686,smart,sign,149
687,smart,sign,150
688,smart,sign,149
689,smart,sign,150
690,smart,sign,147
691,smart,sign,52
692,smart,sign,148
693,smart,sign,144
694,smart,sign,149
695,smart,sign,142
696,smart,sign,146
697,smart,sign,149
698,smart,sign,142
699,smart,sign,149
700,smart,sign,66
701,smart,sign,127
702,smart,sign,149
703,smart,sign,148
704,smart,sign,148
705,smart,sign,147
706,smart,sign,146
707,smart,sign,149
708,smart,sign,149
709,smart,sign,148
710,smart,sign,147
711,smart,sign,144
712,smart,sign,149
713,smart,sign,150
714,smart,sign,120
715,smart,sign,143
716,smart,sign,148
717,smart,sign,148
718,smart,sign,150
719,smart,sign,147
720,smart,sign,150
721,smart,sign,77
722,smart,sign,149
723,smart,sign,149
724,smart,sign,126
725,smart,sign,38
726,smart,sign,144
727,smart,sign,148
728,smart,sign,149
729,smart,sign,149
730,smart,sign,149
731,smart,sign,143
732,smart,sign,147
733,smart,sign,146
734,smart,sign,147
735,smart,sign,148
736,smart,sign,145
737,smart,sign,144
738,smart,sign,149
739,smart,sign,150
740,smart,sign,148
741,smart,sign,149
742,smart,sign,149
743,smart,sign,116
744,smart,sign,78
745,smart,sign,88
746,smart,sign,149
747,smart,sign,149
748,smart,sign,150
749,smart,sign,148
750,smart,sign,150
751,smart,sign,147
752,smart,sign,147
753,smart,sign,150
754,smart,sign,150
755,smart,sign,149
756,smart,sign,149
757,smart,sign,79
758,smart,sign,148
759,smart,sign,149
760,smart,sign,148
761,smart,sign,149
762,smart,sign,149
763,smart,sign,148
764,smart,sign,149
765,smart,sign,149
766,smart,sign,37
767,smart,sign,148
768,smart,sign,150
769,smart,sign,27
770,smart,sign,149
771,smart,sign,150
772,smart,sign,149
773,smart,sign,36
774,smart,sign,149
775,smart,sign,146
776,smart,sign,150
777,smart,sign,150
778,smart,sign,144
779,smart,sign,148
780,smart,sign,147
781,smart,sign,150
782,smart,sign,149
783,smart,sign,19
784,smart,sign,149
785,smart,sign,144
786,smart,sign,149
787,smart,sign,148
788,smart,sign,148
789,smart,sign,149
790,smart,sign,149
791,smart,sign,148
